# x y z r clumpId
0.275735 1.535808 0.136338 0.007120 81
0.277750 1.541331 0.135738 0.007574 81
0.284946 1.540306 0.134792 0.008065 81
0.459301 1.543881 0.068974 0.012467 82
0.458987 1.542296 0.067961 0.011137 82
0.635671 1.543318 0.096910 0.012024 83
0.642388 1.543118 0.101542 0.013461 83
0.640616 1.538296 0.097200 0.012778 83
0.824684 1.541004 0.181585 0.012133 84
0.817127 1.541567 0.180311 0.010888 84
1.000741 1.543072 0.222526 0.010519 85
1.003184 1.541136 0.220502 0.008514 85
1.004291 1.543295 0.216749 0.008840 85
1.178510 1.536814 0.186972 0.009466 86
1.175696 1.542410 0.195258 0.008317 86
1.180305 1.538762 0.190076 0.008450 86
1.363833 1.536556 0.114872 0.008319 87
1.355816 1.539431 0.111568 0.009464 87
1.538452 1.536109 0.134619 0.008735 88
1.540269 1.538084 0.130042 0.009479 88
1.722673 1.542642 0.058851 0.007771 89
1.719974 1.539307 0.057248 0.008549 89
0.095721 1.723618 0.091445 0.009573 90
0.104212 1.723621 0.096780 0.010895 90
0.102095 1.719177 0.092174 0.009579 90
0.283320 1.724198 0.110835 0.013186 91
0.277433 1.720889 0.115193 0.011965 91
0.278103 1.718395 0.113284 0.011345 91
0.464059 1.718494 0.154370 0.008480 92
0.463150 1.717363 0.148561 0.007386 92
0.636771 1.722728 0.170421 0.012667 93
0.642599 1.719489 0.174721 0.012161 93
0.816510 1.715683 0.176482 0.010647 94
0.817747 1.715562 0.177133 0.010665 94
0.819519 1.715569 0.180377 0.010087 94
0.999627 1.720543 0.225768 0.013696 95
0.999497 1.723098 0.224368 0.012089 95
0.999756 1.716509 0.218469 0.011479 95
1.180045 1.716726 0.227303 0.009234 96
1.179394 1.720227 0.226413 0.009099 96
1.361789 1.715524 0.107888 0.009416 97
1.358297 1.720580 0.105444 0.009237 97
1.363516 1.724644 0.107606 0.009016 97
1.538102 1.721561 0.067922 0.010442 98
1.542088 1.715847 0.066890 0.011744 98
1.538285 1.716278 0.068329 0.012512 98
1.721460 1.719234 0.248051 0.012553 99
1.716803 1.717142 0.253910 0.012909 99
